Hexokinase,,,,
KmA,Km,D-Glyceraldehyde 3-phosphate,210,μM
Vmax,Vmax,NULL,99000,μmol/(min*mg)
,,,,
,,,,
Phosphoglycerate kinase,,,,
substrate,"1,3-Biphospho-glycerate",,,
product,3-Phospho-D-glycerate,,,
Kinetic Law,,,,
type,formula,,,
Micahelis-Menten,Vmax*B/(Km+B),,,
Parameter,,,,
name,type,species,start val.,unit
E,concentration,Enzyme,118.8,μg/ml
A,concentration,ATP,5000,μM
B,concentration,ADP,50,μM
KmA,Km,ADP,250,μM
Vmax,Vmax,NULL,180000,μmol/(min*mg)
,,,,
,,,,
Phosphoglyceromutase,,,,
substrate,3-Phospho-D-glycerate,,,
product,2-Phospho-D-glycerate,,,
Kinetic Law,,,,
type,formula,,,
,GPM1*GPMkcat*(-P2G/(GPMKeq*GPMKp3g)+P3G/GPMKp3g)/(1+P2G/GPMKp2g+P3G/GPMKp3g),,,
Parameter,,,,
name,type,species,start val.,unit
P2G,concentration,2-Phospho-D-glycerate,67.73791,μM
P3G,concentration,3-Phospho-D-glycerate,469.825,μM
GPM1,concentration,Enzyme,730.0003,μM
GPMkcat,kcat,NULL,24000,min^(-1)
GPMKeq,Keq,NULL,0.19,NULL
GPMKp2g,Km,2-Phospho-D-glycerate,1410,μM
GPMKp3g,Km,3-Phospho-D-glycerate,1200,μM
,,,,
,,,,
Enolase,,,,
substrate,2-Phospho-D-glycerate,,,
product,Phosphoenolpyruvate,,,
Kinetic Law,,,,
type,formula,,,
Micahelis-Menten,Vmax*A/(Km+A),,,
Parameter,,,,
name,type,species,start val.,unit
E,concentration,Enzyme,0.9,μg/ml
A,concentration,2-Phospho-D-glycerate,2500000,μM
Km,Km,2-Phospho-D-glycerate,5700000,μM
Vmax,Vmax,NULL,0.27,%
,,,,
,,,,
Pyruvate kinase,,,,
substrate,Phosphoenolpyruvate,,,
product,Pyruvate,,,
Kinetic Law,,,,
type,formula,,,
Michaelis-Menten,Vmax*A/(Km+A),,,
Parameter,,,,
name,type,species,start val.,unit
B,concentration,Phosphoenolpyruvate,2000,μM
A,concentration,ADP,2000,μM
M,concentration,"Fructose 1,6-bisphosphate",1000,μM
Km,Km,Phosphoenolpyruvate,300,μM
Vmax,Vmax,NULL,4730,μmol/(min*mg)
,,,,
,,,,
Pyruvate dehydrogenase complex,,,,
substrate,Pyruvate,,,
product,Acetyl-CoA,,,
Kinetic Law,,,,
type,formula,,,
Michaelis-Menten,Vmax*A/(Km+A),,,
Parameter,,,,
name,type,species,start val.,unit
A,concentration,Pyruvate,2000,μM
C,concentration,Coenzyme A,6500,μM
B,concentration,NAD+,2500,μM
Km,Km,Pyruvate,1,μM
Vmax,Vmax,NULL,0.8,μmol/(min*mg)
